"-","id","timestamp","frameNumber","x","y","vx","vy","size"
"$","5","1707210981871","213","-74.875","9.328125","22.2740020751953","1","6.936767578125"
"$","6","1707210981871","213","-25.484375","14.3359375","21.3840503692627","1","5.6893310546875"
"$","5","1707210981933","214","-73.5546875","9.3984375","22.0401458740234","1","6.622314453125"
"$","6","1707210981933","214","-24.2109375","14.4765625","21.3840503692627","1","5.6893310546875"
"$","5","1707210981996","215","-72.2734375","9.859375","22.0838031768799","1","6.802001953125"
"$","6","1707210981996","215","-22.9375","14.625","21.3840503692627","1","5.6893310546875"
"$","5","1707210982058","216","-70.96875","10.0625","22.0838031768799","1","6.802001953125"
"$","6","1707210982058","216","-21.7421875","14.578125","21.1774101257324","1","4.652099609375"
"$","7","1707210982058","216","-116.1171875","0.671875","21.5851631164551","1","8.3155517578125"
"$","5","1707210982136","217","-69.6484375","10.0234375","22.0567569732666","1","6.9521484375"
"$","6","1707210982136","217","-20.46875","14.734375","21.2947750091553","1","4.439208984375"
"$","7","1707210982136","217","-114.828125","0.953125","21.5936832427979","1","8.3155517578125"
"$","5","1707210982199","218","-68.3359375","10.21875","22.0567569732666","1","6.9521484375"
"$","6","1707210982199","218","-19.2109375","14.875","21.2506046295166","1","4.8291015625"
"$","7","1707210982199","218","-113.546875","1.109375","21.5936832427979","1","8.3155517578125"
"$","5","1707210982261","219","-67.046875","10.3828125","22.076473236084","1","7.103271484375"
"$","6","1707210982261","219","-17.9375","15.015625","21.2506046295166","1","4.8291015625"
"$","7","1707210982261","219","-112.265625","0.9140625","21.5767612457275","1","8.3155517578125"
"$","5","1707210982324","220","-64.4453125","10.3984375","22.0207481384277","1","7.224365234375"
"$","6","1707210982324","220","-15.40625","15.28125","21.2506046295166","1","4.8291015625"
"$","7","1707210982324","220","-109.6875","1.1796875","21.5767612457275","1","8.3155517578125"
"$","5","1707210982402","221","-63.1328125","10.5703125","22.0207481384277","1","7.224365234375"
"$","7","1707210982402","221","-108.3984375","1.3046875","21.5767612457275","1","8.3155517578125"
"$","5","1707210982464","222","-61.828125","10.5","22.0006999969482","1","7.3173828125"
"$","5","1707210982527","223","-60.5234375","10.6640625","22.0006999969482","1","7.3173828125"
"$","5","1707210982605","224","-59.2109375","10.7421875","22.0068092346191","1","7.410400390625"
"$","5","1707210982667","225","-57.8984375","10.8984375","22.0068092346191","1","7.410400390625"
"$","5","1707210982730","226","-56.5859375","11.0546875","22.0068092346191","1","7.410400390625"
"$","5","1707210982792","227","-55.2734375","11.2109375","22.0068092346191","1","7.410400390625"
"$","5","1707210982870","228","-52.671875","11.40625","22.0260429382324","1","7.472412109375"
"$","5","1707210982933","229","-51.359375","11.5546875","22.0260429382324","1","7.472412109375"
"$","5","1707210982995","230","-50.046875","12.0546875","22.1257972717285","1","7.534423828125"
"$","5","1707210983058","231","-48.7265625","12.2265625","22.1257972717285","1","7.534423828125"
"$","5","1707210983136","232","-47.4453125","11.875","22.0476398468018","1","6.7335205078125"
"$","5","1707210983199","233","-46.140625","11.859375","22.0323028564453","1","6.9085693359375"
"$","7","1707210983199","233","-46.6328125","12.09375","22.2244472503662","1","7.23779296875"
"$","5","1707210983292","234","-44.8515625","12.0546875","22.0533809661865","1","7.055419921875"
"$","7","1707210983292","234","-45.3125","12.2890625","22.2244472503662","1","7.23779296875"
"$","5","1707210983324","235","-43.5546875","12.1875","22.0689239501953","1","7.1748046875"
"$","7","1707210983324","235","-89.4609375","5.84375","21.9678344726563","1","7.3861083984375"
"$","5","1707210983402","236","-40.96875","12.28125","21.8342437744141","1","6.2896728515625"
"$","5","1707210983464","237","-39.6640625","12.40625","21.8342437744141","1","6.2896728515625"
"$","7","1707210983464","237","-85.5546875","6.2734375","21.9425640106201","1","7.476806640625"
"$","5","1707210983527","238","-38.359375","12.53125","21.8342437744141","1","6.2896728515625"
"$","7","1707210983527","238","-84.25","6.265625","21.919225692749","1","7.5679931640625"
"$","5","1707210983605","239","-37.0625","12.671875","21.8824005126953","1","6.5133056640625"
"$","7","1707210983605","239","-82.953125","6.4453125","21.919225692749","1","7.5679931640625"
"$","5","1707210983667","240","-35.765625","12.7890625","21.8972034454346","1","6.71240234375"
"$","7","1707210983667","240","-81.6484375","6.6328125","21.919225692749","1","7.5679931640625"
"$","5","1707210983730","241","-34.453125","12.9609375","21.9398517608643","1","6.88525390625"
"$","5","1707210983808","242","-33.15625","13.1875","21.8047103881836","1","7.0311279296875"
"$","7","1707210983808","242","-79.0390625","7.0703125","21.9380378723145","1","7.62890625"
